220928, 과실류, 배, 화산, 1, 0, 166.66667
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 366.66666
220928, 과실류, 포도, 캠벨얼리, 1, 0, 400.0
220928, 과실류, 떫은감, 반시, 1, 0, 50.0
220928, 서류, 감자, 기타감자, 1, 0, 130.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 266.66666
220928, 과실류, 포도, 샤인마스캇, 1, 0, 400.0
220928, 과채류, 호박, 애호박, 1, 0, 268.75
220928, 엽경채류, 배추, 기타배추, 1, 0, 100.0
220928, 과채류, 호박, 애호박, 1, 0, 106.666664
220928, 수실류, 밤, 기타밤, 1, 0, 370.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 366.66666
220928, 과일과채류, 토마토, 토마토, 1, 0, 175.0
220928, 서류, 감자, 기타감자, 1, 0, 177.5
220928, 엽경채류, 열무, 열무, 1, 0, 95.2381
220928, 과실류, 포도, 캠벨얼리, 1, 0, 583.3333
220928, 엽경채류, 쑥갓, 쑥갓, 1, 0, 132.5
220928, 서류, 고구마, 호박고구마, 1, 0, 60.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 290.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 284.0
220928, 엽경채류, 상추, 상추순, 1, 0, 360.0
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 986.6667
220928, 버섯류, 새송이, 새송이, 1, 0, 200.0
220928, 과채류, 가지, 가지, 1, 0, 206.25
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 460.0
220928, 과채류, 오이, 백다다기, 1, 0, 493.33334
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 276.0
220928, 과채류, 호박, 애호박, 1, 0, 287.5
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 660.0
220928, 과일과채류, 참외, 금싸라기, 1, 0, 270.0
220928, 엽경채류, 상추, 청상추, 1, 0, 415.0
220928, 과실류, 단감, 송본, 1, 0, 300.0
220928, 버섯류, 새송이, 새송이, 1, 0, 265.0
220928, 엽경채류, 양배추, 양배추, 1, 0, 73.63636
220928, 엽경채류, 상추, 상추순, 1, 0, 275.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 375.0
220928, 과채류, 오이, 가시오이, 1, 0, 252.0
220928, 과실류, 떫은감, 약시, 1, 0, 360.0
220928, 과실류, 단감, 기타단감, 1, 0, 270.0
220928, 과실류, 떫은감, 약시, 1, 0, 150.0
220928, 과실류, 복숭아, 장호원황도, 1, 0, 175.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 525.0
220928, 수실류, 떫은감, 반시, 1, 0, 120.0
220928, 서류, 감자, 기타감자, 1, 0, 101.0
220928, 특용작물류, 땅콩, 기타땅콩, 1, 0, 520.0
220928, 과실류, 단감, 기타단감, 1, 0, 150.0
220928, 과실류, 떫은감, 약시, 1, 0, 186.0
220928, 수실류, 떫은감, 반시, 1, 0, 120.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 380.0
220928, 근채류, 무, 기타무, 1, 0, 135.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 600.0
220928, 과실류, 감귤, 조생귤, 1, 0, 400.0
220928, 서류, 고구마, 기타, 1, 0, 200.0
220928, 엽경채류, 상추, 청상추, 1, 0, 162.5
220928, 근채류, 무, 기타무, 1, 0, 132.5
220928, 엽경채류, 배추, 쌈배추, 1, 0, 160.0
220928, 과채류, 호박, 애호박, 1, 0, 268.75
220928, 과실류, 배, 원황, 1, 0, 100.0
220928, 엽경채류, 상추, 청상추, 1, 0, 312.5
220928, 과실류, 포도, 샤인마스캇, 1, 0, 800.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 333.33334
220928, 엽경채류, 상추, 꽃적상추, 1, 0, 300.0
220928, 조미채소류, 홍고추, 홍고추, 1, 0, 808.0357
220928, 과일과채류, 수박, 수박, 1, 0, 163.63637
220928, 과일과채류, 수박, 수박, 1, 0, 133.33333
220928, 과일과채류, 수박, 수박, 1, 0, 154.54546
220928, 엽경채류, 상추, 청상추, 1, 0, 312.5
220928, 양채류, 치커리, 치커리, 1, 0, 50.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 600.0
220928, 엽경채류, 무청, 생무청, 1, 0, 180.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 416.66666
220928, 과실류, 복숭아, 황도, 1, 0, 300.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 70.0
